"Reference","Value","Footprint"
"C1","100nF","Capacitor_SMD:C_0805_2012Metric"
"C2","100nF","Capacitor_SMD:C_0805_2012Metric"
"C3","100nF","Capacitor_SMD:C_0805_2012Metric"
"C4","100nF","Capacitor_SMD:C_0805_2012Metric"
"C5","100nF","Capacitor_SMD:C_0805_2012Metric"
"C13","10uF","Capacitor_SMD:C_0805_2012Metric"
"C14","10uF","Capacitor_SMD:C_0805_2012Metric"
"C15","10uF","Capacitor_SMD:C_0805_2012Metric"
"C16","10uF","Capacitor_SMD:C_0805_2012Metric"
"C17","10uF","Capacitor_SMD:C_0805_2012Metric"
"C18","10uF","Capacitor_SMD:C_0805_2012Metric"
"C19","100nF","Capacitor_SMD:C_0805_2012Metric"
"C20","100nF","Capacitor_SMD:C_0805_2012Metric"
"C21","100nF","Capacitor_SMD:C_0805_2012Metric"
"C22","100nF","Capacitor_SMD:C_0805_2012Metric"
"C23","22pF","Capacitor_SMD:C_0805_2012Metric"
"C24","22pF","Capacitor_SMD:C_0805_2012Metric"
"C25","100nF","Capacitor_SMD:C_0805_2012Metric"
"C26","10uF","Capacitor_SMD:C_0805_2012Metric"
"Card1","SMN-305","warden_custom:SMN-305_Nano_SIM"
"D1","ESD0P2RF-02LRH-TP","Diode_SMD:D_SOD-323"
"D2","ESD0P2RF-02LRH-TP","Diode_SMD:D_SOD-323"
"D3","BAT54HT1G","Diode_SMD:D_SOD-323"
"H1","825433-3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical"
"IC1","SIM7080G","warden_custom:LCC-42_SIM7080G"
"IC2","BQ24650RVAR","Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm"
"IC3","TPS63070RNMR","warden_custom:QFN-15-1EP_3x4mm_P0.5mm_EP1.45x2.45mm"
"IC4","MAX98357AETE+T","Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm"
"J1","U.FL-R-SMT-1","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical"
"J2","U.FL-R-SMT-1","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical"
"J3","61300211121","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"L1","4.7uH","Inductor_SMD:L_Taiyo-Yuden_NR-60xx_HandSoldering"
"L3","74437346015","Inductor_SMD:L_APV_ANR4012"
"Q1","DMG9926UDM","Package_TO_SOT_SMD:SOT-23-6"
"Q2","AO3401A","Package_TO_SOT_SMD:SOT-23"
"Q3","2N7002","Package_TO_SOT_SMD:SOT-23"
"R1","10kΩ","Resistor_SMD:R_0805_2012Metric"
"R2","100kΩ","Resistor_SMD:R_0805_2012Metric"
"R3","10kΩ","Resistor_SMD:R_0805_2012Metric"
"R4","10kΩ","Resistor_SMD:R_0805_2012Metric"
"R5","10kΩ","Resistor_SMD:R_0805_2012Metric"
"R10","10kΩ","Resistor_SMD:R_0805_2012Metric"
"R11","1MΩ","Resistor_SMD:R_0805_2012Metric"
"R12","180kΩ","Resistor_SMD:R_0805_2012Metric"
"R13","4.7kΩ","Resistor_SMD:R_0805_2012Metric"
"R14","4.7kΩ","Resistor_SMD:R_0805_2012Metric"
"R15","100kΩ","Resistor_SMD:R_0805_2012Metric"
"R16","100k","Resistor_SMD:R_0805_2012Metric"
"R17","100k","Resistor_SMD:R_0805_2012Metric"
"R18","100k","Resistor_SMD:R_0805_2012Metric"
"R19","100k","Resistor_SMD:R_0805_2012Metric"
"RSNS?","20m","Resistor_SMD:R_2512_6332Metric"
"TP1","5002","TestPoint:TestPoint_Pad_D1.5mm"
"TP2","5002","TestPoint:TestPoint_Pad_D1.5mm"
"TP3","5002","TestPoint:TestPoint_Pad_D1.5mm"
"TP4","5002","TestPoint:TestPoint_Pad_D1.5mm"
"TP5","5002","TestPoint:TestPoint_Pad_D1.5mm"
"U1","113991115","warden_custom:XIAO_ESP32S3_SENSE"
"U2","Ai-Thinker-Ra-01","RF_Module:Ai-Thinker-Ra-01-LoRa"
"U3","M138 Modem","warden_custom:Swarm_M138"
"U4","MCP23017_SO","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm"
"U5","SRV05-4-P-T7","Package_TO_SOT_SMD:SOT-23-6"
"U6","SC16IS740","Package_SO:TSSOP-16_4.4x5mm_P0.65mm"
"X1","14.7456MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm"
