Comment,Designator,Footprint,LCSC Part #
100k,"R16,R17,R18,R19,R23",Resistor_SMD:R_0805_2012Metric,
100kΩ,"R2,R15",Resistor_SMD:R_0805_2012Metric,
100nF,"C1,C2,C3,C4,C5,C19,C20,C21,C22,C25,C27,C28,C29,C30",Capacitor_SMD:C_0805_2012Metric,
10k,R24,Resistor_SMD:R_0805_2012Metric,
10kΩ,"R1,R3,R4,R5,R10",Resistor_SMD:R_0805_2012Metric,
10uF,"C13,C14,C15,C16,C17,C18,C26,C32",Capacitor_SMD:C_0805_2012Metric,
113991115,U1,warden_custom:XIAO_ESP32S3_SENSE,
14.7456MHz,X1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,
180kΩ,R12,Resistor_SMD:R_0805_2012Metric,
1MΩ,R11,Resistor_SMD:R_0805_2012Metric,
20m,RSNS,Resistor_SMD:R_2512_6332Metric,
22pF,"C23,C24",Capacitor_SMD:C_0805_2012Metric,
2N7002,Q3,Package_TO_SOT_SMD:SOT-23,
4.7kΩ,"R13,R14",Resistor_SMD:R_0805_2012Metric,
4.7uH,L1,Inductor_SMD:L_Taiyo-Yuden_NR-60xx_HandSoldering,
47uF,C31,Capacitor_SMD:C_1206_3216Metric,
5002,"TP1,TP2,TP3,TP4,TP5",TestPoint:TestPoint_Pad_D1.5mm,
500mA_PTC,F1,Fuse:Fuse_0805_2012Metric,
61300211121,J3,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
74437346015,L3,Inductor_SMD:L_APV_ANR4012,
825433-3,H1,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,
AO3401A,Q2,Package_TO_SOT_SMD:SOT-23,
Ai-Thinker-Ra-01,U2,RF_Module:Ai-Thinker-Ra-01-LoRa,
BAT54HT1G,D3,Diode_SMD:D_SOD-323,
BQ24650RVAR,IC2,Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,
DMG9926UDM,Q1,Package_TO_SOT_SMD:SOT-23-6,
ESD0P2RF-02LRH-TP,"D1,D2",Diode_SMD:D_SOD-323,
Expansion_Header,J4,Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical,
JP_MODEM_RAIL,JP1,Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
JP_SAT_UART_RX,JP4,Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
JP_SAT_UART_TX,JP3,Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
JP_SIM_VCC,JP2,Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
M138 Modem,U3,warden_custom:Swarm_M138,
MAX98357AETE+T,IC4,Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm,
MCP23017_SO,U4,Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm,
Qwiic,J5,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,
SC16IS740,U6,Package_SO:TSSOP-16_4.4x5mm_P0.65mm,
SIM7080G,IC1,warden_custom:LCC-42_SIM7080G,
SMN-305,Card1,warden_custom:SMN-305_Nano_SIM,
SRV05-4-P-T7,U5,Package_TO_SOT_SMD:SOT-23-6,
TPS63070RNMR,IC3,warden_custom:QFN-15-1EP_3x4mm_P0.5mm_EP1.45x2.45mm,
U.FL-R-SMT-1,"J1,J2",Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical,
