Designator,Mid X,Mid Y,Layer,Rotation
C29,53.600000,-41.500000,Bottom,0.000000
C1,19.000000,-74.000000,Top,0.000000
C2,40.000000,-74.000000,Top,0.000000
C3,44.000000,-74.000000,Top,0.000000
C4,48.000000,-74.000000,Top,0.000000
C5,52.000000,-74.000000,Top,0.000000
C13,20.000000,-94.000000,Top,0.000000
C14,24.000000,-94.000000,Top,0.000000
C15,8.000000,-73.500000,Top,180.000000
C16,56.000000,-74.000000,Top,0.000000
C17,60.000000,-74.000000,Top,0.000000
C18,64.000000,-74.000000,Top,0.000000
C19,23.000000,-74.000000,Top,0.000000
C20,6.000000,-80.000000,Top,90.000000
C21,6.000000,-84.000000,Top,90.000000
C22,6.000000,-92.000000,Top,90.000000
C23,30.000000,-55.000000,Top,0.000000
C24,30.000000,-58.000000,Top,0.000000
C25,20.000000,-54.000000,Top,0.000000
C26,15.000000,-54.000000,Top,0.000000
C27,15.300000,-77.000000,Top,0.000000
C28,72.500000,-12.000000,Top,180.000000
C30,38.940000,-3.000000,Top,90.000000
C31,63.060000,-2.900000,Top,90.000000
C32,44.200000,-79.250000,Top,180.000000
C33,43.000000,-50.200000,Top,90.000000
C34,46.500000,-50.500000,Top,90.000000
Card1,78.000000,-42.000000,Top,0.000000
D1,95.000000,-48.000000,Top,0.000000
D2,91.000000,-30.000000,Top,0.000000
D3,15.000000,-74.000000,Top,0.000000
F1,11.500000,-56.000000,Top,0.000000
H1,7.000000,-34.000000,Top,90.000000
IC1,50.000000,-40.000000,Top,0.000000
IC2,19.000000,-80.000000,Top,0.000000
IC3,48.000000,-80.000000,Top,0.000000
IC4,58.000000,-64.000000,Top,0.000000
J1,95.000000,-38.000000,Top,0.000000
J2,95.000000,-30.000000,Top,0.000000
J3,62.000000,-68.000000,Top,0.000000
J4,5.000000,-54.500000,Top,0.000000
J5,5.000000,-48.000000,Top,180.000000
L1,14.000000,-88.000000,Top,0.000000
L3,55.000000,-80.000000,Top,0.000000
Q1,26.000000,-80.000000,Top,0.000000
Q2,36.000000,-29.000000,Top,0.000000
Q3,40.000000,-29.000000,Top,0.000000
Q4,70.000000,-75.000000,Top,0.000000
Q5,75.000000,-75.000000,Top,0.000000
R1,30.000000,-72.000000,Top,90.000000
R2,33.000000,-72.000000,Top,90.000000
R3,30.000000,-76.000000,Top,90.000000
R4,33.000000,-76.000000,Top,90.000000
R5,27.000000,-88.000000,Top,90.000000
R10,27.000000,-92.000000,Top,90.000000
R11,62.000000,-80.000000,Top,90.000000
R12,66.000000,-80.000000,Top,90.000000
R13,66.000000,-60.000000,Top,0.000000
R14,66.000000,-63.000000,Top,0.000000
R15,40.000000,-80.000000,Top,90.000000
R16,32.000000,-29.000000,Top,0.000000
R17,20.000000,-29.000000,Top,0.000000
R18,42.000000,-52.000000,Top,0.000000
R19,42.000000,-58.000000,Top,0.000000
R20,36.000000,-72.000000,Top,90.000000
R21,36.000000,-76.000000,Top,90.000000
R22,36.000000,-68.000000,Top,90.000000
R23,54.000000,-64.750000,Top,0.000000
R24,11.500000,-68.000000,Top,0.000000
R25,70.000000,-80.000000,Top,0.000000
R26,73.000000,-80.000000,Top,0.000000
R27,76.000000,-80.000000,Top,0.000000
R28,79.000000,-80.000000,Top,0.000000
RSNS,33.000000,-88.000000,Top,90.000000
U1,17.500000,-15.000000,Top,0.000000
U2,83.500000,-15.000000,Top,0.000000
U3,51.000000,-15.000000,Top,0.000000
U4,78.000000,-64.000000,Top,90.000000
U5,92.000000,-64.000000,Top,0.000000
U6,25.000000,-54.000000,Top,90.000000
X1,30.000000,-52.000000,Top,0.000000
