"Reference","Value","Footprint","QUANTITY"
"C1,C2,C3,C4,C19,C20,C21,C22,C25,C27,C28,C29,C30","100nF","Capacitor_SMD:C_0805_2012Metric","13"
"C5","1uF","Capacitor_SMD:C_0805_2012Metric","1"
"C13,C14,C15,C16,C17,C18,C26,C32","10uF","Capacitor_SMD:C_0805_2012Metric","8"
"C23,C24","22pF","Capacitor_SMD:C_0805_2012Metric","2"
"C31","47uF","Capacitor_SMD:C_1206_3216Metric","1"
"Card1","SMN-305","warden_custom:SMN-305_Nano_SIM","1"
"D1,D2","ESD0P2RF-02LRH-TP","Diode_SMD:D_SOD-323","2"
"D3","BAT54HT1G","Diode_SMD:D_SOD-323","1"
"F1","500mA_PTC","Fuse:Fuse_0805_2012Metric","1"
"H1","825433-3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"IC1","SIM7080G","warden_custom:LCC-42_SIM7080G","1"
"IC2","BQ24650RVAR","Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm","1"
"IC3","TPS63070RNMR","warden_custom:QFN-15-1EP_3x4mm_P0.5mm_EP1.45x2.45mm","1"
"IC4","MAX98357AETE+T","Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm","1"
"J1,J2","U.FL-R-SMT-1","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical","2"
"J3","61300211121","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1"
"J4","Expansion_Header","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical","1"
"J5","Qwiic","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","1"
"L1","4.7uH","Inductor_SMD:L_Taiyo-Yuden_NR-60xx_HandSoldering","1"
"L3","74437346015","Inductor_SMD:L_APV_ANR4012","1"
"Q1","DMG9926UDM","Package_TO_SOT_SMD:SOT-23-6","1"
"Q2","AO3401A","Package_TO_SOT_SMD:SOT-23","1"
"Q3","2N7002","Package_TO_SOT_SMD:SOT-23","1"
"R1,R3,R4,R5,R10","10kΩ","Resistor_SMD:R_0805_2012Metric","5"
"R2,R15","100kΩ","Resistor_SMD:R_0805_2012Metric","2"
"R11","1MΩ","Resistor_SMD:R_0805_2012Metric","1"
"R12","180kΩ","Resistor_SMD:R_0805_2012Metric","1"
"R13,R14","4.7kΩ","Resistor_SMD:R_0805_2012Metric","2"
"R16,R17,R18,R19,R22,R23","100k","Resistor_SMD:R_0805_2012Metric","6"
"R20","7.15k","Resistor_SMD:R_0805_2012Metric","1"
"R21,R24","10k","Resistor_SMD:R_0805_2012Metric","2"
"RSNS?","20m","Resistor_SMD:R_2512_6332Metric","1"
"TP1,TP2,TP3,TP4,TP5","5002","TestPoint:TestPoint_Pad_D1.5mm","5"
"U1","113991115","warden_custom:XIAO_ESP32S3_SENSE","1"
"U2","Ai-Thinker-Ra-01","RF_Module:Ai-Thinker-Ra-01-LoRa","1"
"U3","M138 Modem","warden_custom:Swarm_M138","1"
"U4","MCP23017_SO","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm","1"
"U5","SRV05-4-P-T7","Package_TO_SOT_SMD:SOT-23-6","1"
"U6","SC16IS740","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","1"
"X1","14.7456MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","1"
