Designator,Mid X,Mid Y,Layer,Rotation
C1,19.000000,-74.000000,Top,0.000000
C2,40.000000,-74.000000,Top,0.000000
C3,44.000000,-74.000000,Top,0.000000
C4,48.000000,-74.000000,Top,0.000000
C5,52.000000,-74.000000,Top,0.000000
C13,20.000000,-94.000000,Top,0.000000
C14,24.000000,-94.000000,Top,0.000000
C15,6.000000,-74.000000,Top,90.000000
C16,56.000000,-74.000000,Top,0.000000
C17,60.000000,-74.000000,Top,0.000000
C18,64.000000,-74.000000,Top,0.000000
C19,23.000000,-74.000000,Top,0.000000
C20,6.000000,-80.000000,Top,90.000000
C21,6.000000,-84.000000,Top,90.000000
C22,6.000000,-92.000000,Top,90.000000
Card1,78.000000,-42.000000,Top,0.000000
D1,95.000000,-48.000000,Top,0.000000
D2,91.000000,-30.000000,Top,0.000000
D3,15.000000,-74.000000,Top,0.000000
H1,7.000000,-34.000000,Top,90.000000
IC1,50.000000,-40.000000,Top,0.000000
IC2,19.000000,-80.000000,Top,0.000000
IC3,48.000000,-80.000000,Top,0.000000
IC4,58.000000,-64.000000,Top,0.000000
J1,95.000000,-38.000000,Top,0.000000
J2,95.000000,-30.000000,Top,0.000000
J3,62.000000,-68.000000,Top,0.000000
L1,14.000000,-88.000000,Top,0.000000
L3,55.000000,-80.000000,Top,0.000000
Q1,26.000000,-80.000000,Top,0.000000
Q2,36.000000,-29.000000,Top,0.000000
Q3,40.000000,-29.000000,Top,0.000000
R1,30.000000,-72.000000,Top,90.000000
R2,33.000000,-72.000000,Top,90.000000
R3,30.000000,-76.000000,Top,90.000000
R4,33.000000,-76.000000,Top,90.000000
R5,27.000000,-88.000000,Top,90.000000
R10,27.000000,-92.000000,Top,90.000000
R11,62.000000,-80.000000,Top,90.000000
R12,66.000000,-80.000000,Top,90.000000
R13,66.000000,-60.000000,Top,0.000000
R14,66.000000,-63.000000,Top,0.000000
R15,40.000000,-80.000000,Top,90.000000
R16,32.000000,-29.000000,Top,0.000000
R17,20.000000,-29.000000,Top,0.000000
R18,42.000000,-52.000000,Top,0.000000
R19,42.000000,-58.000000,Top,0.000000
RSNS,33.000000,-88.000000,Top,90.000000
U1,17.500000,-15.000000,Top,0.000000
U2,83.500000,-15.000000,Top,0.000000
U4,78.000000,-64.000000,Top,90.000000
U5,92.000000,-64.000000,Top,0.000000
