Comment,Designator,Footprint,LCSC Part #
100k,R17,Resistor_SMD:R_0805_2012Metric,
100kΩ,"R2,R15",Resistor_SMD:R_0805_2012Metric,
100nF,"C1,C2,C3,C4,C5,C19,C20,C21,C22",Capacitor_SMD:C_0805_2012Metric,
10kΩ,"R1,R3,R4,R5,R10",Resistor_SMD:R_0805_2012Metric,
10uF,"C13,C14,C15,C16,C17,C18",Capacitor_SMD:C_0805_2012Metric,
113991115,U1,warden_custom:XIAO_ESP32S3_SENSE,
180kΩ,R12,Resistor_SMD:R_0805_2012Metric,
1MΩ,R11,Resistor_SMD:R_0805_2012Metric,
20m,RSNS,Resistor_SMD:R_2512_6332Metric,
4.7kΩ,"R13,R14",Resistor_SMD:R_0805_2012Metric,
4.7uH,L1,Inductor_SMD:L_Taiyo-Yuden_NR-60xx_HandSoldering,
5002,"TP1,TP2,TP3,TP4,TP5",TestPoint:TestPoint_Pad_D1.5mm,
61300211121,J3,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
74437346015,L3,Inductor_SMD:L_APV_ANR4012,
825433-3,H1,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,
Ai-Thinker-Ra-01,U2,RF_Module:Ai-Thinker-Ra-01-LoRa,
BAT54HT1G,D3,Diode_SMD:D_SOD-323,
BQ24650RVAR,IC2,Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,
DMG9926UDM,Q1,Package_TO_SOT_SMD:SOT-23-6,
ESD0P2RF-02LRH-TP,D2,Diode_SMD:D_SOD-323,
MAX98357AETE+T,IC4,Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm,
MCP23017_SO,U4,Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm,
TPS63070RNMR,IC3,warden_custom:QFN-15-1EP_3x4mm_P0.5mm_EP1.45x2.45mm,
U.FL-R-SMT-1,J2,Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical,
