Comment,Designator,Footprint,LCSC Part #
100nF,"C1,C2,C3,C4,C5,C19,C20,C21,C22",C_0805_2012Metric,
10uF,"C13,C14,C15,C16,C17,C18",C_0805_2012Metric,
SMN-305,Card1,SMN-305_Nano_SIM,C266890
ESD0P2RF-02LRH-TP,"D1,D2",D_SOD-323,C907863
BAT54HT1G,D3,D_SOD-323,
825433-3,H1,PinHeader_1x03_P2.54mm_Vertical,C306148
SIM7080G,IC1,LCC-42_SIM7080G,
BQ24650RVAR,IC2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,
TPS63070RNMR,IC3,QFN-15-1EP_3x4mm_P0.5mm_EP1.45x2.45mm,
MAX98357AETE+T,IC4,QFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm,
U.FL-R-SMT-1,"J1,J2",U.FL_Hirose_U.FL-R-SMT-1_Vertical,
61300211121,J3,PinHeader_1x02_P2.54mm_Vertical,
4.7uH,L1,L_Taiyo-Yuden_NR-60xx_HandSoldering,
74437346015,L3,L_APV_ANR4012,
DMG9926UDM,Q1,SOT-23-6,
10kΩ,"R1,R3,R4,R5,R10",R_0805_2012Metric,
100kΩ,"R2,R15",R_0805_2012Metric,
1MΩ,R11,R_0805_2012Metric,
180kΩ,R12,R_0805_2012Metric,
4.7kΩ,"R13,R14",R_0805_2012Metric,
20m,RSNS?,R_2512_6332Metric,
5002,"TP1,TP2,TP3,TP4,TP5",TestPoint_Pad_D1.5mm,
113991115,U1,XIAO_ESP32S3_SENSE,
Ai-Thinker-Ra-01,U2,Ai-Thinker-Ra-01-LoRa,
M138 Modem,U3,Swarm_M138,
MCP23017_SO,U4,SOIC-28W_7.5x17.9mm_P1.27mm,
SRV05-4-P-T7,U5,SOT-23-6,
