*Reference,*Manufacturer Part number,*QTY,*Original,Description,Purchase Link
"C1, C19, C2, C20, C21, C22, C3, C4, C5","","9","","A generic fixed capacitor ideal for rapid circuit topology development. You can choose between polarized and non-polarized types, its symbol and the footprint will automatically adapt based on your selection. Supported options include standard SMD sizes for ceramic capacitors (e.g., 0402, 0603, 0805), SMD sizes for aluminum electrolytic capacitors, and through-hole footprints for polarized capacitors. 

Save precious design time by seamlessly add more information to this part (value, footprint, etc.) as it becomes available.

Standard capacitor values: 1.0pF, 10pF, 100pF, 1000pF, 0.01uF, 0.1uF, 1.0uF, 10uF, 100uF, 1000uF, 10000uF
1.1pF, 11pF, 110pF, 1100pF
1.2pF, 12pF, 120pF, 1200pF
1.3pF, 13pF, 130pF, 1300pF
1.5pF, 15pF, 150pF, 1500pF, 0.015uF, 0.15uF, 1.5uF, 15uF, 150uF, 1500uF
1.6pF, 16pF, 160pF, 1600pF
1.8pF, 18pF, 180pF, 1800pF
2.0pF, 20pF, 200pF, 2000pF
2.2pF, 22pF, 220pF, 2200pF, 0.022uF, 0.22uF, 2.2uF, 22uF, 220uF, 2200uF
2.4pF, 24pF, 240pF, 2400pF
2.7pF, 27pF, 270pF, 2700pF
3.0pF, 30pF, 300pF, 3000pF
3.3pF, 33pF, 330pF, 3300pF, 0.033uF, 0.33uF, 3.3uF, 33uF, 330uF, 3300uF
3.6pF, 36pF, 360pF, 3600pF
3.9pF, 39pF, 390pF, 3900pF
4.3pF, 43pF, 430pF, 4300pF
4.7pF, 47pF, 470pF, 4700pF, 0.047uF, 0.47uF, 4.7uF, 47uF, 470uF, 4700uF
5.1pF, 51pF, 510pF, 5100pF
5.6pF, 56pF, 560pF, 5600pF
6.2pF, 62pF, 620pF, 6200pF
6.8pF, 68pF, 680pF, 6800pF, 0.068uF, 0.68uF, 6.8uF, 68uF, 680uF, 6800uF
7.5pF, 75pF, 750pF, 7500pF
8.2pF, 82pF, 820pF, 8200pF
9.1pF, 91pF, 910pF, 9100pF #generics #CommonPartsLibrary",""
"C13, C14, C15, C16, C17, C18","","6","","A generic fixed capacitor ideal for rapid circuit topology development. You can choose between polarized and non-polarized types, its symbol and the footprint will automatically adapt based on your selection. Supported options include standard SMD sizes for ceramic capacitors (e.g., 0402, 0603, 0805), SMD sizes for aluminum electrolytic capacitors, and through-hole footprints for polarized capacitors. 

Save precious design time by seamlessly add more information to this part (value, footprint, etc.) as it becomes available.

Standard capacitor values: 1.0pF, 10pF, 100pF, 1000pF, 0.01uF, 0.1uF, 1.0uF, 10uF, 100uF, 1000uF, 10000uF
1.1pF, 11pF, 110pF, 1100pF
1.2pF, 12pF, 120pF, 1200pF
1.3pF, 13pF, 130pF, 1300pF
1.5pF, 15pF, 150pF, 1500pF, 0.015uF, 0.15uF, 1.5uF, 15uF, 150uF, 1500uF
1.6pF, 16pF, 160pF, 1600pF
1.8pF, 18pF, 180pF, 1800pF
2.0pF, 20pF, 200pF, 2000pF
2.2pF, 22pF, 220pF, 2200pF, 0.022uF, 0.22uF, 2.2uF, 22uF, 220uF, 2200uF
2.4pF, 24pF, 240pF, 2400pF
2.7pF, 27pF, 270pF, 2700pF
3.0pF, 30pF, 300pF, 3000pF
3.3pF, 33pF, 330pF, 3300pF, 0.033uF, 0.33uF, 3.3uF, 33uF, 330uF, 3300uF
3.6pF, 36pF, 360pF, 3600pF
3.9pF, 39pF, 390pF, 3900pF
4.3pF, 43pF, 430pF, 4300pF
4.7pF, 47pF, 470pF, 4700pF, 0.047uF, 0.47uF, 4.7uF, 47uF, 470uF, 4700uF
5.1pF, 51pF, 510pF, 5100pF
5.6pF, 56pF, 560pF, 5600pF
6.2pF, 62pF, 620pF, 6200pF
6.8pF, 68pF, 680pF, 6800pF, 0.068uF, 0.68uF, 6.8uF, 68uF, 680uF, 6800uF
7.5pF, 75pF, 750pF, 7500pF
8.2pF, 82pF, 820pF, 8200pF
9.1pF, 91pF, 910pF, 9100pF #generics #CommonPartsLibrary",""
"Card1","SMN-305","1","","Flip type 1.4mm Card Slot -25℃~+85℃ Nano SIM card SMD SIM Card Connectors ROHS
SMN-305
SIM-SMD_SMN-305
LCSC Part Number: C266890
JLCPCB Part Class: Extended Part
Manufactured by XUNPU(讯普) ","https://lcsc.com/product-detail/Connector-Card-Sockets_XUNPU-SMN-305_C266890.html"
"D1, D2","ESD0P2RF-02LRH-TP","2","","TVS
ESD0P2RF-02LRH-TP
X1-DFN1006-2_L1.0-W0.6-BI
LCSC Part Number: C907863
JLCPCB Part Class: Extended Part
Manufactured by TECH PUBLIC(台舟) ","https://lcsc.com/product-detail/TVS_TECH-PUBLIC-ESD0P2RF-02LRH-TP_C907863.html"
"D3","BAT54HT1G","1","","Diode Schottky 30 V 200mA (DC) Surface Mount SOD-323 #commonpartslibrary
#diode",""
"H1","825433-3","1","","Pin Headers
825433-3
HDR-TH_3P-P2.54-V-M
LCSC Part Number: C306148
JLCPCB Part Class: Extended Part
Manufactured by TE Connectivity(泰科电子) ","https://lcsc.com/product-detail/Others_TE-Connectivity_825433-3_TE-Connectivity-825433-3_C306148.html"
"IC1","SIM7080G","1","","Cellular, Navigation Galileo, GLONASS, GPS, GNSS, LTE Transceiver Module 1.559GHz ~ 1.576GHz, 1.575GHz ~ 1.576GHz, 1.574GHz ~ 1.606GHz, 1.598GHz ~ 1.563GHz Antenna Not Included Surface Mount #commonpartslibrary
#integratedcircuit
#wireless
#rf
#transceiver",""
"IC2","BQ24650RVAR","1","","Charger IC Multi-Chemistry 16-VQFN (3.5x3.5) #commonpartslibrary
#integratedcircuit
#powermanagement
#batterycharger",""
"IC3","TPS63070RNMR","1","","Buck-Boost Switching Regulator IC Positive Adjustable 2.5V 1 Output 2A 15-PowerVFQFN #CommonPartsLibrary #IntegratedCircuit #PowerManagement #voltage-regulator #Switching-Regulator #TPS63070",""
"IC4","MAX98357AETE+T","1","","MAX98357A Series 5.5V 3.2W PCM Input Class D Audio Power Amplifier - TQFN-16 #commonpartslibrary
#integratedcircuit
#linearamplifier
#mono",""
