Designator,Quantity,Element UIDs,Part UID,Specification,Part Type,Domain,Compliance,JLCPCB Part Class,Operating Voltage,Operating Temperature,Reliability Target (MTBF),Role,Role Details,Software,Connector Type,Connector Gender,Connector Pitch,Connector Positions,Connector Rows,Power Requirements,Connectivity,Human Interface,Manufacturing Quantity Target,Manufacturer Part Number,LCSC Part Number,Digi-Key Part Number,Mouser Part Number,Arrow Part Number,Verical Part Number,TME Part Number,Allow Substitutes,Manufacturer Name,Price Change Threshold,Lead Time Change Threshold,Pricing Notification Frequency,Preferred Distributors,Datasheet URL,Implementation Details,License,Package or Case Code,Pin Type,Voltage,Voltage Rating,Forward Voltage,Reverse Voltage,Max Reverse Voltage,Diode Type,Mount,Integrated Circuit Type,Breakdown Voltage,Threshold Voltage,Max Output Voltage,Min Output Voltage,Initial Voltage on Reset,Resistance,Resistor Type,Gate Resistance,On Resistance,Off Resistance,Tolerance,Capacitance,Capacitor Type,Power,Power Rating,Current,Max Current,Desired Temperature Rise,Current Rating,Leakage Current,Saturation Current,Initial Current on Reset,Trigger Current,Holding Current,Frequency,Logic Function,Inductance,Inductor Shielding,Inductor Type,Beta,Drain to Source Voltage,Continuous Drain Current,Transistor Type,Gain,Coupling Coefficient,Ratio,Reference Design URL,Price,Purchase Url,Product Info Url,Product Image Url,Substitute Manufacturer Part Number,KiCAD Library Reference,Exclude from PCB,Controlled Impedance,Controlled Impedance Tolerance,PN Skew Max,Pair to Pair Skew Max,Pin Delay,Controlled Impedance Pair,Bus Group,Pair Role,Pin Role,Bus Type,Symbol Style,Symbol Size,Net Type,Package,Designator Prefix,Exclude from BOM
"C1,C19,C2,C20,C21,C22,C3,C4,C5","9","0d783ea2-5dcc-49df-9cf4-47de7a7c6a78,13b06753-abb8-4761-b427-1a4f78c75349,20c85bf3-237b-49a3-a318-81d605867eaa,384d6356-7c7c-46d5-8a19-317ef78f5771,6f35b069-46fa-427e-9e0a-c8e115c67a4f,8205d38e-b08c-459e-a0d9-10ddf36df78b,90056cf2-f026-4b1f-b6ec-39d31f757fd3,a618df6c-f74c-40b8-a10b-74beb72b755e,e9674c3f-f109-4af2-a425-7aadb9018d84","46707925-236f-106b-e676-afa2757aa1d6","Non-Polarized Capacitor, 100nF, SMD_0805_2012Metric","Non-Polarized Capacitor","","","","","","","Bootstrap Capacitor,Decoupling Capacitor,Sense Filter Capacitor","Bootstrap capacitor between PH and BTST for BQ24650,Local 100nF bypass capacitor placed near each IC supply pin group,Common-mode filter from SRP to GND for BQ24650 current sense,Optional common-mode filter from SRN to GND for BQ24650 current sense,Differential filter capacitor between SRP and SRN for BQ24650 current sense","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V","","","","","","","","","","","","","","","","","%","100nF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMD_0805_2012Metric","C",""
"C13,C14,C15,C16,C17,C18","6","1791f0f8-ac50-411f-9fc9-658b0a42540a,22bdf393-fb33-41f0-9d04-1f55e4ceba31,a2dd5b74-9347-4c23-b0c9-1bbd2aa0ea1e,d199f347-6ca9-4704-8278-6ca9cfdf49f4,d1e1d190-0cfb-4a71-b9ec-f9a54b2a6059,ed5e5ff9-a34e-464c-9e20-f333797ab4e2","46707925-236f-106b-e676-afa2757aa1d6","Non-Polarized Capacitor, 10uF, SMD_0805_2012Metric","Non-Polarized Capacitor","","","","","","","Bulk Capacitor","Bulk rail decoupling and transient load support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V","","","","","","","","","","","","","","","","","%","10uF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMD_0805_2012Metric","C",""
"Card1","1","d4ce69c2-88db-43d6-9012-09dd6a4b3fd3","cd673b60-f7eb-4587-8a55-ce149d7fff04","SIM Card Connectors, SIM-SMD_SMN-305","SIM Card Connectors","","","Extended Part","","","","SIM Socket","Nano SIM holder for cellular modem provisioning","","Card Slot","Female","2.54mm","","","","","","","SMN-305","C266890","","","","","","","XUNPU(讯普)","","","","","","","","SIM-SMD_SMN-305","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://lcsc.com/product-detail/Connector-Card-Sockets_XUNPU-SMN-305_C266890.html","","","","","","","","","","","","","","","","","","SMD","Card",""
"D1,D2","2","1483826c-79ba-4021-ae70-ba94d61cd34d,73f9f8ca-5d42-4593-adb9-5991d17368b1","4104e92c-a711-4fd3-bb1e-2660ffc6962d","TVS, X1-DFN1006-2_L1.0-W0.6-BI","TVS","","","Extended Part","","","","RF TVS","Low-capacitance protection for antenna RF lines","","","","","","","","","","","ESD0P2RF-02LRH-TP","C907863","","","","","","","TECH PUBLIC(台舟)","","","","","","","","X1-DFN1006-2_L1.0-W0.6-BI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://lcsc.com/product-detail/TVS_TECH-PUBLIC-ESD0P2RF-02LRH-TP_C907863.html","","","","","","","","","","","","","","","","","High Speed","DFN1006-2","D",""
"D3","1","d9fb57da-6e57-4b3e-ad26-c01a7a478f0f","c8dcae90-5fb5-47d0-a519-968422600baf","Diode, SOD-323","Diode","","","","","","","Bootstrap Diode","Bootstrap charge diode from REGN to BTST for BQ24650 gate drive supply","","","","","","","","","","","BAT54HT1G","","","","","","","","onsemi","","","","","","","https://creativecommons.org/licenses/by/4.0/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOD-323","D",""
"H1","1","6d5091f8-3059-4dcb-a42a-e7f442bf7a91","44c292ee-8436-4deb-a6e8-34a647d97d1f","Pin Headers, HDR-TH_3P-P2.54-V-M","Pin Headers","","","Extended Part","","","","PIR Header","3-pin 2.54mm connector carrying 3.3V, ground, and PIR signal","","","","","","","","","","","825433-3","C306148","","","","","","","TE Connectivity(泰科电子)","","","","","","","","HDR-TH_3P-P2.54-V-M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://lcsc.com/product-detail/Others_TE-Connectivity_825433-3_TE-Connectivity-825433-3_C306148.html","","","","","","","","","","","","","","","","","","Through Hole","H",""
"IC1","1","5f4f855e-daa0-4037-8bbb-475d18255fcd","334e32a5-4073-4c27-b997-9ea2c2248911","Integrated Circuit, LCC-SMD","Integrated Circuit","","","","","","","Cellular Modem","UART-connected SIM7080G modem for LTE-M and NB-IoT backhaul","","","","","","","","","","","SIM7080G","","","","","","","","SIMCom Wireless Solutions Limited","","","","","","","https://creativecommons.org/licenses/by/4.0/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","High Speed","LCC-SMD","IC",""
"IC2","1","10ba34c5-a784-4539-8240-d8fa73db254f","9749532f-b601-4e26-933f-e46bba699f46","Integrated Circuit, VQFN-16","Integrated Circuit","","","","","","","Solar Charger","Configurable charger for 5V to 12V solar input and single-cell LiFePO4 battery charging to 3.6V","","","","","","","","","","","BQ24650RVAR","","","","","","","","Texas Instruments Inc.","","","","","","","https://creativecommons.org/licenses/by/4.0/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Power","VQFN-16","IC",""
"IC3","1","d24b8e17-fb26-4fb3-b933-7bb5580a578c","f00e6c6a-c6bf-4740-9da1-7591fe6568bb","Integrated Circuit, QFN","Integrated Circuit","","","","","","","3.3V Regulator","Battery-powered buck-boost regulator producing the main 3.3V logic rail","","","","","","","","","","","TPS63070RNMR","","","","","","","","Texas Instruments Inc.","","","","","","","https://creativecommons.org/licenses/by/4.0/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Power","QFN","IC",""
"IC4","1","23d2e52d-494d-4234-b18c-06fd79079af6","f98a7e22-05c3-4940-bbc7-95d5323ddf46","Integrated Circuit, TQFN-16","Integrated Circuit","","","","","","","Audio Amplifier","I2S audio interface from ESP32-S3 to external 8 ohm speaker header","","","","","","","","","","","MAX98357AETE+T","","","","","","","","Analog Devices Inc./Maxim Integrated","","","","","","","https://creativecommons.org/licenses/by/4.0/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TQFN-16","IC",""
