Comment,Designator,Footprint,JLCPCB Part #,LCSC Part #
"Non-Polarized Capacitor 100nF SMD_0805_2012Metric","C1, C19, C2, C20, C21, C22, C3, C4, C5","","",""
"Non-Polarized Capacitor 10uF SMD_0805_2012Metric","C13, C14, C15, C16, C17, C18","","",""
"SMN-305","Card1","SIM-SMD_SMN-305","","C266890"
"ESD0P2RF-02LRH-TP","D1, D2","X1-DFN1006-2_L1.0-W0.6-BI","","C907863"
"BAT54HT1G","D3","","",""
"825433-3","H1","HDR-TH_3P-P2.54-V-M","","C306148"
"SIM7080G","IC1","","",""
"BQ24650RVAR","IC2","","",""
"TPS63070RNMR","IC3","","",""
"MAX98357AETE+T","IC4","","",""
"U.FL-R-SMT-1","J1, J2","","",""
"61300211121","J3","","",""
"74437346015","L3","","",""
"DMG9926UDM","Q1","SOT-23-6","",""
"Resistor 10kΩ SMD_0805_2012Metric","R1, R10, R3, R4, R5","","",""
"Resistor 1MΩ SMD_0805_2012Metric","R11","","",""
"Resistor 180kΩ SMD_0805_2012Metric","R12","","",""
"Resistor 4.7kΩ SMD_0805_2012Metric","R13, R14","","",""
"Resistor 100kΩ SMD_0805_2012Metric","R15, R2","","",""
"5002","TP1, TP2, TP3, TP4, TP5","","",""
"113991115","U1","","",""
"Ai-Thinker-Ra-01","U2","","",""
"M138 Modem","U3","","",""
"MCP23017_SO","U4","SOIC-28W_7.5x17.9mm_P1.27mm","",""
"SRV05-4-P-T7","U5","","",""
