Designator,Manufacturer Part Number or Seeed SKU,QTY,Link
"C1,C19,C2,C20,C21,C22,C3,C4,C5","","9",""
"C13,C14,C15,C16,C17,C18","","6",""
"Card1","SMN-305","1",""
"D1,D2","ESD0P2RF-02LRH-TP","2",""
"D3","BAT54HT1G","1",""
"H1","825433-3","1",""
"IC1","SIM7080G","1",""
"IC2","BQ24650RVAR","1",""
"IC3","TPS63070RNMR","1",""
"IC4","MAX98357AETE+T","1",""
"J1,J2","U.FL-R-SMT-1","2",""
"J3","61300211121","1",""
"L3","74437346015","1",""
"Q1","DMG9926UDM","1",""
"R1,R10,R3,R4,R5","","5",""
"R11","","1",""
"R12","","1",""
"R13,R14","","2",""
"R15,R2","","2",""
"TP1,TP2,TP3,TP4,TP5","5002","5",""
"U1","113991115","1",""
"U2","Ai-Thinker-Ra-01","1",""
"U3","M138 Modem","1",""
"U4","MCP23017_SO","1",""
"U5","SRV05-4-P-T7","1",""
